Business Name,Building,Workers,Category,Information
Vertical Visuals,"BLDG 131, STE 3W",1,Creative Office & Media,"Aerial and ground photography, video equipment rental"
Video Guy,"BLDG 303 STE 707, Brooklyn Navy Yard 11205",1,Fabrication & Custom Installation (Wood & Metal),On-Set Production Services - Video Assist and Playback; Training (Local 52 members)
vintageloftny,"BLDG 280 STE 411, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Apparel & Accessory"
Viventium Software,"BLDG 212 STE 202, Brooklyn Navy Yard 11205",2,"""Hardware, Software, & Design Engineering""",Payroll and HR Software for Health Services
Voltaic Systems,"BLDG 128, STE n/a Newlab",9,Power & Energy,"Solar Panels and Battery Packs, Sustainable"
Voltpost,"BLDG , STE ",1,Power & Energy,Lampost EV Charging platform
Volumes,,1,"""Hardware, Software, & Design Engineering""",
VS+Company aka Vanessa Stevens and Co.,"BLDG 77 STE 1208, Brooklyn Navy Yard 11205",1,Creative Office & Media,"Artist Rep, Photography Printing and Post Production"
VUW,"BLDG 77, STE 1318, Brooklyn Navy Yard",1,Architecture & Design,"Experience Design, Architect, Commercial, Residential, High-Profile"
Vycarb,"BLDG 128, STE n/a Newlab",1,"""Hardware, Software, & Design Engineering""","Carbon capture for water: drop-in water treatment system to measure water carbon cycle, detect excess CO2, and ""dose"" water to allow it store CO2 "
W N Z NY,"BLDG 3, STE 1114, Brooklyn Navy Yard",1,Apparel & Accessory,"Purchase, storage and resale of apparels; printing; embroidery"
Ware of the Dog,"BLDG 3 STE 314, Brooklyn Navy Yard 11205",1,,"Industry: Services, Artists, & Designers, Sub Industry: Apparel & Accessory"
Wavelength Productions,"BLDG 212 STE 501, 502, Brooklyn Navy Yard 11205",12,Creative Office & Media,"Creative Production Company, Film, Commercial, Documentary, High Profile - Jennifer Westphal "
Waverly Labs,"BLDG 128, STE n/a Newlab",1,"""Hardware, Software, & Design Engineering""",&Professional Services; Translation Software/App
Waxwing Studio,"BLDG 5 STE 501, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,"Woodworking, Freestanding Furniture"
Wayout Studio,"BLDG 77 STE 1116, Brooklyn Navy Yard 11205",2,Fine Art & Photography,"Set design, artist, fabricator"
We are A Studio,"BLDG 77, STE 1220 C",1,Creative Office & Media,"Creative Director, Branding, Product Design, Package Design"
Wegmans,,9,Food & Beverage,
WeWork,,2,,
Wherewithal Et Al ,"BLDG 77 STE 606, Brooklyn Navy Yard 11205",0,,"Industry: Services, Artists, & Designers, Sub Industry: Creative Office & Media"
Whitney Wood Bailey,"BLDG 212 STE 405, Brooklyn Navy Yard 11205",1,Fine Art & Photography,Painting
William Falk Wallace,"BLDG 77 STE 1018, Brooklyn Navy Yard 11205",1,,"Industry: Manufacturers & Distributors, Sub Industry: Fabrication & Custom Installation (Wood & Metal)"
Woodley Equipment Company,"BLDG 212 STE 209, Brooklyn Navy Yard 11205",9,Healthcare,"Supplier and Servicer of Medical, Lab Diagnostics, and Veterinary Equipment"
Woodside Press aka Bower Publishing Company,"BLDG 3 STE 1008, Brooklyn Navy Yard 11205",1,Printing & Engraving,"Executed seccond surrender agreement extension in May 2024.

Industry: Services, Artists, & Designers, Sub Industry: Printing & Engraving"
Work at Hand,"BLDG 77 STE 1014, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,"Wood Furniture, Decor, E-commerce Retail"
Yael Ben-Simon,"BLDG 280 STE 610, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Sculpture, Mixed Media"
Yank Technologies,"BLDG 128, STE 110, Brooklyn Navy Yard, Brooklyn 11205",5,"""Hardware, Software, & Design Engineering""",No information in JT tracker. Information sourced from SF. 
Yello Studio NYC LCC,"BLDG 212, STE 302",1,Creative Office & Media,"Production Studio Rental, Equipment Rental"
Yes I Sew Fashion LLC,,1,,
YesYesNo,"BLDG 77 STE 1202, Brooklyn Navy Yard 11205",5,"""Hardware, Software, & Design Engineering""","Experience Design, Interactive, Robotics, Sculpture, Commercial, AR, VR"
York Industries,,1,,
ZAK Kitnick,"BLDG 5 STE 313, 314, Brooklyn Navy Yard 11205",6,Fine Art & Photography,"Object Work, Photography, Sculpture, Painting, Video Art"
Zeph Colombatto Photography,"BLDG 280 STE 801, Brooklyn Navy Yard 11205",1,Fine Art & Photography,"Photography, Commercial Art, Product Photography, Fashion"
Zero + Maria Cornejo,"BLDG 280, STE 321, 410C, Brooklyn Navy Yard",1,Apparel & Accessory,Fashion design and archives
Ziptech Office Solutions,"BLDG 131 STE 209, Brooklyn Navy Yard 11205",1,Furniture & Home Goods,Office Supplies
Zoe Leonard Studio ,"BLDG 280, STE 616",1,Fine Art & Photography,Photography
Zound Pro aka ZEA Lighting Strategies,"BLDG 77, STE 405, Brooklyn Navy Yard",2,Architecture & Design,"Lighting Design and Installation, Some Interior Design Services"
